Exchange,Type,WebSocket URL
binanceusdm,eapiPrivate,https://eapi.binance.com/eapi/v1
binanceusdm,dapiPrivateV2,https://dapi.binance.com/dapi/v2
binanceusdm,dapiData,https://dapi.binance.com/futures/data
binanceusdm,fapiPublic,https://fapi.binance.com/fapi/v1
binanceusdm,fapiPublicV2,https://fapi.binance.com/fapi/v2
binanceusdm,fapiPublicV3,https://fapi.binance.com/fapi/v3
binanceusdm,fapiPrivate,https://fapi.binance.com/fapi/v1
binanceusdm,fapiPrivateV2,https://fapi.binance.com/fapi/v2
binanceusdm,fapiPrivateV3,https://fapi.binance.com/fapi/v3
binanceusdm,fapiData,https://fapi.binance.com/futures/data
binanceusdm,public,https://api.binance.com/api/v3
binanceusdm,private,https://api.binance.com/api/v3
binanceusdm,v1,https://api.binance.com/api/v1
binanceusdm,papi,https://papi.binance.com/papi/v1
binanceusdm,ws,"{'spot': 'wss://stream.binance.com:9443/ws', 'margin': 'wss://stream.binance.com:9443/ws', 'future': 'wss://fstream.binance.com/ws', 'delivery': 'wss://dstream.binance.com/ws', 'ws-api': {'spot': 'wss://ws-api.binance.com:443/ws-api/v3', 'future': 'wss://ws-fapi.binance.com/ws-fapi/v1', 'delivery': 'wss://ws-dapi.binance.com/ws-dapi/v1'}, 'papi': 'wss://fstream.binance.com/pm/ws'}"
bingx,spot,https://open-api.{hostname}/openApi
bingx,swap,https://open-api.{hostname}/openApi
bingx,contract,https://open-api.{hostname}/openApi
bingx,wallets,https://open-api.{hostname}/openApi
bingx,user,https://open-api.{hostname}/openApi
bingx,subAccount,https://open-api.{hostname}/openApi
bingx,account,https://open-api.{hostname}/openApi
bingx,copyTrading,https://open-api.{hostname}/openApi
bingx,cswap,https://open-api.{hostname}/openApi
bingx,api,https://open-api.{hostname}/openApi
bingx,ws,"{'spot': 'wss://open-api-ws.bingx.com/market', 'linear': 'wss://open-api-swap.bingx.com/swap-market', 'inverse': 'wss://open-api-cswap-ws.bingx.com/market'}"
bitfinex,v1,https://api.bitfinex.com
bitfinex,public,https://api-pub.bitfinex.com
bitfinex,private,https://api.bitfinex.com
bitfinex,ws,"{'public': 'wss://api-pub.bitfinex.com/ws/2', 'private': 'wss://api.bitfinex.com/ws/2'}"
bitget,spot,https://api.{hostname}
bitget,mix,https://api.{hostname}
bitget,user,https://api.{hostname}
bitget,p2p,https://api.{hostname}
bitget,broker,https://api.{hostname}
bitget,margin,https://api.{hostname}
bitget,common,https://api.{hostname}
bitget,tax,https://api.{hostname}
bitget,convert,https://api.{hostname}
bitget,copy,https://api.{hostname}
bitget,earn,https://api.{hostname}
bitget,uta,https://api.{hostname}
bitget,ws,"{'public': 'wss://ws.bitget.com/v2/ws/public', 'private': 'wss://ws.bitget.com/v2/ws/private'}"
bitget,demo,"{'public': 'wss://wspap.bitget.com/v2/ws/public', 'private': 'wss://wspap.bitget.com/v2/ws/private'}"
bithumb,public,https://api.{hostname}/public
bithumb,private,https://api.{hostname}
bithumb,ws,wss://pubwss.bithumb.com/pub/ws
bitmart,spot,https://api-cloud.{hostname}
bitmart,swap,https://api-cloud-v2.{hostname}
bitmart,ws,"{'spot': {'public': 'wss://ws-manager-compress.{hostname}/api?protocol=1.1', 'private': 'wss://ws-manager-compress.{hostname}/user?protocol=1.1'}, 'swap': {'public': 'wss://openapi-ws-v2.{hostname}/api?protocol=1.1', 'private': 'wss://openapi-ws-v2.{hostname}/user?protocol=1.1'}}"
bitmex,public,https://www.bitmex.com
bitmex,private,https://www.bitmex.com
bitmex,ws,wss://ws.bitmex.com/realtime
bitopro,rest,https://api.bitopro.com/v3
bitrue,spot,https://www.bitrue.com/api
bitrue,fapi,https://fapi.bitrue.com/fapi
bitrue,dapi,https://fapi.bitrue.com/dapi
bitrue,kline,https://www.bitrue.com/kline-api
bitrue,open,https://open.bitrue.com
bitrue,ws,"{'public': 'wss://ws.bitrue.com/market/ws', 'private': 'wss://wsapi.bitrue.com'}"
bitstamp,public,https://www.bitstamp.net/api
bitstamp,private,https://www.bitstamp.net/api
bitstamp,ws,wss://ws.bitstamp.net
bittrade,market,https://{hostname}
bittrade,public,https://{hostname}
bittrade,private,https://{hostname}
bittrade,v2Public,https://{hostname}
bittrade,v2Private,https://{hostname}
bittrade,ws,"{'api': {'public': 'wss://{hostname}/ws', 'private': 'wss://{hostname}/ws/v2'}}"
bitvavo,public,https://api.bitvavo.com
bitvavo,private,https://api.bitvavo.com
bitvavo,ws,wss://ws.bitvavo.com/v2
blockchaincom,public,https://api.blockchain.com/v3/exchange
blockchaincom,private,https://api.blockchain.com/v3/exchange
blockchaincom,ws,wss://ws.blockchain.info/mercury-gateway/v1/ws
blofin,rest,https://openapi.blofin.com
blofin,ws,"{'swap': {'public': 'wss://openapi.blofin.com/ws/public', 'private': 'wss://openapi.blofin.com/ws/private'}}"
bybit,spot,https://api.{hostname}
bybit,futures,https://api.{hostname}
bybit,v2,https://api.{hostname}
bybit,public,https://api.{hostname}
bybit,private,https://api.{hostname}
bybit,ws,"{'public': {'spot': 'wss://stream.{hostname}/v5/public/spot', 'inverse': 'wss://stream.{hostname}/v5/public/inverse', 'option': 'wss://stream.{hostname}/v5/public/option', 'linear': 'wss://stream.{hostname}/v5/public/linear'}, 'private': {'spot': {'unified': 'wss://stream.{hostname}/v5/private', 'nonUnified': 'wss://stream.{hostname}/spot/private/v3'}, 'contract': 'wss://stream.{hostname}/v5/private', 'usdc': 'wss://stream.{hostname}/trade/option/usdc/private/v1', 'trade': 'wss://stream.bybit.com/v5/trade'}}"
cex,public,https://trade.cex.io/api/spot/rest-public
cex,private,https://trade.cex.io/api/spot/rest
cex,ws,wss://ws.cex.io/ws
coinbase,rest,https://api.coinbase.com
coinbase,ws,wss://advanced-trade-ws.coinbase.com
coinbaseadvanced,rest,https://api.coinbase.com
coinbaseadvanced,ws,wss://advanced-trade-ws.coinbase.com
coinbaseexchange,public,https://api.{hostname}
coinbaseexchange,private,https://api.{hostname}
coinbaseexchange,ws,wss://ws-feed.exchange.coinbase.com
coinbaseinternational,rest,https://api.international.coinbase.com/api
coinbaseinternational,ws,wss://ws-md.international.coinbase.com
coincatch,public,https://api.coincatch.com
coincatch,private,https://api.coincatch.com
coincatch,ws,"{'public': 'wss://ws.coincatch.com/public/v1/stream', 'private': 'wss://ws.coincatch.com/private/v1/stream'}"
coincheck,rest,https://coincheck.com/api
coincheck,ws,wss://ws-api.coincheck.com/
coinex,public,https://api.coinex.com
coinex,private,https://api.coinex.com
coinex,perpetualPublic,https://api.coinex.com/perpetual
coinex,perpetualPrivate,https://api.coinex.com/perpetual
coinex,ws,"{'spot': 'wss://socket.coinex.com/v2/spot/', 'swap': 'wss://socket.coinex.com/v2/futures/'}"
coinone,rest,https://api.coinone.co.kr
coinone,v2Public,https://api.coinone.co.kr/public/v2
coinone,v2Private,https://api.coinone.co.kr/v2
coinone,v2_1Private,https://api.coinone.co.kr/v2.1
coinone,ws,wss://stream.coinone.co.kr
cryptocom,base,https://api.crypto.com
cryptocom,v1,https://api.crypto.com/exchange/v1
cryptocom,v2,https://api.crypto.com/v2
cryptocom,derivatives,https://deriv-api.crypto.com/v1
cryptocom,ws,"{'public': 'wss://stream.crypto.com/exchange/v1/market', 'private': 'wss://stream.crypto.com/exchange/v1/user'}"
defx,public,https://api.{hostname}
defx,private,https://api.{hostname}
defx,ws,"{'public': 'wss://marketfeed.api.defx.com/pricefeed', 'private': 'wss://userfeed.api.defx.com/user'}"
deribit,rest,https://www.deribit.com
deribit,ws,wss://www.deribit.com/ws/api/v2
derive,public,https://api.lyra.finance/public
derive,private,https://api.lyra.finance/private
derive,ws,wss://api.lyra.finance/ws
exmo,public,https://api.exmo.com
exmo,private,https://api.exmo.com
exmo,web,https://exmo.me
exmo,ws,"{'public': 'wss://ws-api.exmo.com:443/v1/public', 'spot': 'wss://ws-api.exmo.com:443/v1/private', 'margin': 'wss://ws-api.exmo.com:443/v1/margin/private'}"
gate,public,"{'wallet': 'https://api.gateio.ws/api/v4', 'futures': 'https://api.gateio.ws/api/v4', 'margin': 'https://api.gateio.ws/api/v4', 'delivery': 'https://api.gateio.ws/api/v4', 'spot': 'https://api.gateio.ws/api/v4', 'options': 'https://api.gateio.ws/api/v4', 'sub_accounts': 'https://api.gateio.ws/api/v4', 'earn': 'https://api.gateio.ws/api/v4'}"
gate,private,"{'withdrawals': 'https://api.gateio.ws/api/v4', 'wallet': 'https://api.gateio.ws/api/v4', 'futures': 'https://api.gateio.ws/api/v4', 'margin': 'https://api.gateio.ws/api/v4', 'delivery': 'https://api.gateio.ws/api/v4', 'spot': 'https://api.gateio.ws/api/v4', 'options': 'https://api.gateio.ws/api/v4', 'subAccounts': 'https://api.gateio.ws/api/v4', 'unified': 'https://api.gateio.ws/api/v4', 'rebate': 'https://api.gateio.ws/api/v4', 'earn': 'https://api.gateio.ws/api/v4', 'account': 'https://api.gateio.ws/api/v4', 'loan': 'https://api.gateio.ws/api/v4'}"
gate,ws,wss://ws.gate.io/v4
gate,spot,wss://api.gateio.ws/ws/v4/
gate,swap,"{'usdt': 'wss://fx-ws.gateio.ws/v4/ws/usdt', 'btc': 'wss://fx-ws.gateio.ws/v4/ws/btc'}"
gate,future,"{'usdt': 'wss://fx-ws.gateio.ws/v4/ws/delivery/usdt', 'btc': 'wss://fx-ws.gateio.ws/v4/ws/delivery/btc'}"
gate,option,"{'usdt': 'wss://op-ws.gateio.live/v4/ws/usdt', 'btc': 'wss://op-ws.gateio.live/v4/ws/btc'}"
gateio,public,"{'wallet': 'https://api.gateio.ws/api/v4', 'futures': 'https://api.gateio.ws/api/v4', 'margin': 'https://api.gateio.ws/api/v4', 'delivery': 'https://api.gateio.ws/api/v4', 'spot': 'https://api.gateio.ws/api/v4', 'options': 'https://api.gateio.ws/api/v4', 'sub_accounts': 'https://api.gateio.ws/api/v4', 'earn': 'https://api.gateio.ws/api/v4'}"
gateio,private,"{'withdrawals': 'https://api.gateio.ws/api/v4', 'wallet': 'https://api.gateio.ws/api/v4', 'futures': 'https://api.gateio.ws/api/v4', 'margin': 'https://api.gateio.ws/api/v4', 'delivery': 'https://api.gateio.ws/api/v4', 'spot': 'https://api.gateio.ws/api/v4', 'options': 'https://api.gateio.ws/api/v4', 'subAccounts': 'https://api.gateio.ws/api/v4', 'unified': 'https://api.gateio.ws/api/v4', 'rebate': 'https://api.gateio.ws/api/v4', 'earn': 'https://api.gateio.ws/api/v4', 'account': 'https://api.gateio.ws/api/v4', 'loan': 'https://api.gateio.ws/api/v4'}"
gateio,ws,wss://ws.gate.io/v4
gateio,spot,wss://api.gateio.ws/ws/v4/
gateio,swap,"{'usdt': 'wss://fx-ws.gateio.ws/v4/ws/usdt', 'btc': 'wss://fx-ws.gateio.ws/v4/ws/btc'}"
gateio,future,"{'usdt': 'wss://fx-ws.gateio.ws/v4/ws/delivery/usdt', 'btc': 'wss://fx-ws.gateio.ws/v4/ws/delivery/btc'}"
gateio,option,"{'usdt': 'wss://op-ws.gateio.live/v4/ws/usdt', 'btc': 'wss://op-ws.gateio.live/v4/ws/btc'}"
gemini,public,https://api.gemini.com
gemini,private,https://api.gemini.com
gemini,web,https://docs.gemini.com
gemini,webExchange,https://exchange.gemini.com
gemini,ws,wss://api.gemini.com
hashkey,public,https://api-glb.hashkey.com
hashkey,private,https://api-glb.hashkey.com
hashkey,ws,"{'public': 'wss://stream-glb.hashkey.com/quote/ws/v1', 'private': 'wss://stream-glb.hashkey.com/api/v1/ws'}"
hashkey,test,"{'ws': {'public': 'wss://stream-glb.sim.hashkeydev.com/quote/ws/v1', 'private': 'wss://stream-glb.sim.hashkeydev.com/api/v1/ws'}}"
hitbtc,public,https://api.hitbtc.com/api/3
hitbtc,private,https://api.hitbtc.com/api/3
hitbtc,ws,"{'public': 'wss://api.hitbtc.com/api/3/ws/public', 'private': 'wss://api.hitbtc.com/api/3/ws/trading'}"
hollaex,rest,https://api.hollaex.com
hollaex,ws,wss://api.hollaex.com/stream
htx,status,https://{hostname}
htx,contract,https://{hostname}
htx,spot,https://{hostname}
htx,public,https://{hostname}
htx,private,https://{hostname}
htx,v2Public,https://{hostname}
htx,v2Private,https://{hostname}
