timestamp,time,exchange,symbol,bid1_price,bid1_volume,bid2_price,bid2_volume,ask1_price,ask1_volume,ask2_price,ask2_volume
1753591897731,04:51:37.731,phemex,ACT/USDT:USDT,0.04578,4773.0,0.04577,9843.0,0.0458,9347.0,0.04581,2754.0
1753591897752,04:51:37.752,phemex,ACT/USDT:USDT,0.04578,4773.0,0.04577,9843.0,0.0458,9347.0,0.04581,2754.0
1753591897834,04:51:37.834,phemex,ACT/USDT:USDT,0.04578,4773.0,0.04577,9843.0,0.04579,2770.0,0.0458,9347.0
1753591897852,04:51:37.852,phemex,ACT/USDT:USDT,0.04578,4773.0,0.04577,9843.0,0.0458,9347.0,0.04581,2754.0
1753591897896,04:51:37.896,phemex,ACT/USDT:USDT,0.04578,4773.0,0.04577,9843.0,0.0458,9347.0,0.04581,2754.0
1753591897926,04:51:37.926,phemex,ACT/USDT:USDT,0.04578,4773.0,0.04577,9843.0,0.04579,2770.0,0.0458,9347.0
1753591897955,04:51:37.955,phemex,ACT/USDT:USDT,0.04578,4773.0,0.04577,9843.0,0.0458,9347.0,0.04581,2754.0
1753591897994,04:51:37.994,phemex,ACT/USDT:USDT,0.04578,4773.0,0.04577,9843.0,0.0458,9347.0,0.04581,2754.0
1753591898188,04:51:38.188,phemex,ACT/USDT:USDT,0.04579,2770.0,0.04578,4773.0,0.0458,9347.0,0.04581,2754.0
1753591898215,04:51:38.215,phemex,ACT/USDT:USDT,0.04578,7714.0,0.04577,10565.0,0.0458,9347.0,0.04581,2754.0
1753591898393,04:51:38.393,phemex,ACT/USDT:USDT,0.04579,2770.0,0.04578,7714.0,0.0458,9347.0,0.04581,2754.0
1753591899572,04:51:39.572,phemex,ACT/USDT:USDT,0.04579,2770.0,0.04578,7714.0,0.0458,6593.0,0.04581,2754.0
1753591900132,04:51:40.132,phemex,ACT/USDT:USDT,0.04579,2770.0,0.04578,7714.0,0.0458,6593.0,0.04581,2754.0
1753591900162,04:51:40.162,phemex,ACT/USDT:USDT,0.04579,2770.0,0.04578,7714.0,0.0458,6593.0,0.04581,2754.0
1753591905166,04:51:45.166,phemex,ACT/USDT:USDT,0.04579,6387.0,0.04578,11310.0,0.0458,10230.0,0.04581,6808.0
1753591908874,04:51:48.874,phemex,ACT/USDT:USDT,0.04579,6387.0,0.04578,11310.0,0.0458,10130.0,0.04581,6808.0
1753591908874,04:51:48.874,phemex,ACT/USDT:USDT,0.04579,6387.0,0.04578,11310.0,0.0458,10130.0,0.04581,6808.0
1753591918396,04:51:58.396,phemex,ACT/USDT:USDT,0.04579,6387.0,0.04578,11310.0,0.0458,10037.0,0.04581,6808.0
1753591919012,04:51:59.012,phemex,ACT/USDT:USDT,0.04579,3617.0,0.04578,11310.0,0.0458,10037.0,0.04581,6808.0
1753591929840,04:52:09.840,phemex,ACT/USDT:USDT,0.04579,3617.0,0.04578,11310.0,0.0458,9927.0,0.04581,6808.0
1753591931683,04:52:11.683,phemex,ACT/USDT:USDT,0.04579,6399.0,0.04578,11310.0,0.0458,9927.0,0.04581,4054.0
1753591943168,04:52:23.168,phemex,ACT/USDT:USDT,0.04579,6399.0,0.04578,6306.0,0.04581,3024.0,0.04582,2719.0
1753591943173,04:52:23.173,phemex,ACT/USDT:USDT,0.04579,6399.0,0.04578,6306.0,0.04581,3024.0,0.04582,2719.0
