timestamp,time,symbol,bid,bidVolume,ask,askVolume,lastPrice,baseVolume,quoteVolume
1753460252844,16:17:32.844,ADA/USDT:USDT,0.7851,4.5,0.7852,893.3,0.7852,3974992.8,
1753460253207,16:17:33.207,ADA/USDT:USDT,0.7851,4.5,0.7852,894.5,0.7852,3974992.8,
1753460253524,16:17:33.524,ADA/USDT:USDT,0.7851,85.5,0.7852,840.7,0.7852,3974992.8,
1753460253640,16:17:33.640,ADA/USDT:USDT,0.7851,85.5,0.7852,880.2,0.7852,3974992.8,
1753460253760,16:17:33.760,ADA/USDT:USDT,0.785,119.3,0.7851,808.3,0.785,3975045.8,
1753460254217,16:17:34.217,ADA/USDT:USDT,0.785,211.0,0.7851,685.3,0.7851,3975045.9,
1753460254573,16:17:34.573,ADA/USDT:USDT,0.785,197.4,0.7851,660.5,0.7851,3975045.9,
1753460254677,16:17:34.677,ADA/USDT:USDT,0.785,197.3,0.7851,660.5,0.7851,3975045.9,
1753460254779,16:17:34.779,ADA/USDT:USDT,0.785,197.3,0.7851,685.3,0.7851,3975045.9,
1753460254910,16:17:34.910,ADA/USDT:USDT,0.785,197.3,0.7851,685.6,0.7851,3975045.9,
1753460255125,16:17:35.125,ADA/USDT:USDT,0.785,306.5,0.7851,468.6,0.7851,3975045.9,
1753460255274,16:17:35.274,ADA/USDT:USDT,0.785,222.7,0.7851,508.7,0.7851,3975045.9,
1753460255393,16:17:35.393,ADA/USDT:USDT,0.785,222.9,0.7851,469.0,0.7851,3975045.9,
1753460255503,16:17:35.503,ADA/USDT:USDT,0.785,259.6,0.7851,450.4,0.785,3975059.7,
1753460255606,16:17:35.606,ADA/USDT:USDT,0.785,229.1,0.7851,472.4,0.785,3975059.7,
1753460256496,16:17:36.496,ADA/USDT:USDT,0.785,229.1,0.7851,175.3,0.785,3975059.7,
1753460256597,16:17:36.597,ADA/USDT:USDT,0.785,77.8,0.7851,259.0,0.785,3975059.7,
1753460256704,16:17:36.704,ADA/USDT:USDT,0.785,202.5,0.7851,219.1,0.785,3975059.7,
1753460256810,16:17:36.810,ADA/USDT:USDT,0.785,52.2,0.7851,362.4,0.785,3975059.7,
1753460256921,16:17:36.921,ADA/USDT:USDT,0.785,29.8,0.7851,362.4,0.785,3975059.7,
1753460257051,16:17:37.051,ADA/USDT:USDT,0.7849,213.5,0.785,631.2,0.785,3975089.5,
1753460257174,16:17:37.174,ADA/USDT:USDT,0.7849,213.7,0.785,632.4,0.785,3975089.5,
1753460257275,16:17:37.275,ADA/USDT:USDT,0.7849,213.7,0.785,655.4,0.785,3975089.5,
1753460257379,16:17:37.379,ADA/USDT:USDT,0.7849,212.0,0.785,654.7,0.7849,3975091.2,
1753460257487,16:17:37.487,ADA/USDT:USDT,0.7849,0.1,0.785,717.9,0.7849,3975091.2,
1753460257589,16:17:37.589,ADA/USDT:USDT,0.7848,123.3,0.785,726.0,0.7849,3975091.3,
1753460257707,16:17:37.707,ADA/USDT:USDT,0.7848,15.5,0.7849,800.3,0.7848,3975101.8,
1753460257808,16:17:37.808,ADA/USDT:USDT,0.7847,315.2,0.7848,232.3,0.7848,3975101.8,
1753460258015,16:17:38.015,ADA/USDT:USDT,0.7847,315.4,0.7848,152.3,0.7848,3975101.8,
1753460258170,16:17:38.170,ADA/USDT:USDT,0.7847,305.4,0.7848,152.5,0.7847,3975111.8,
1753460258400,16:17:38.400,ADA/USDT:USDT,0.7847,305.4,0.7848,155.0,0.7847,3975111.8,
1753460258812,16:17:38.812,ADA/USDT:USDT,0.7847,168.7,0.7848,201.4,0.7847,3975111.8,
1753460258913,16:17:38.913,ADA/USDT:USDT,0.7846,166.2,0.7848,257.2,0.7847,3975177.1,
1753460259015,16:17:39.015,ADA/USDT:USDT,0.7846,314.3,0.7847,416.5,0.7847,3975177.1,
1753460259122,16:17:39.122,ADA/USDT:USDT,0.7847,487.7,0.7848,179.9,0.7847,3975338.5,
1753460259241,16:17:39.241,ADA/USDT:USDT,0.7847,157.5,0.7848,272.3,0.7847,3975338.5,
1753460259349,16:17:39.349,ADA/USDT:USDT,0.7847,76.5,0.7848,299.6,0.7847,3975338.5,
1753460259448,16:17:39.448,ADA/USDT:USDT,0.7847,76.5,0.7848,262.8,0.7847,3975338.5,
1753460259560,16:17:39.560,ADA/USDT:USDT,0.7847,122.6,0.7848,289.5,0.7847,3975338.5,
1753460259676,16:17:39.676,ADA/USDT:USDT,0.7847,46.3,0.7848,370.2,0.7848,3975338.6,
1753460259784,16:17:39.784,ADA/USDT:USDT,0.7847,46.3,0.7848,354.4,0.7848,3975338.6,
1753460259895,16:17:39.895,ADA/USDT:USDT,0.7847,46.3,0.7848,370.4,0.7848,3975338.6,
1753460259996,16:17:39.996,ADA/USDT:USDT,0.7846,217.3,0.7848,371.6,0.7847,3975384.9,
1753460260097,16:17:40.097,ADA/USDT:USDT,0.7845,307.4,0.7847,757.4,0.7846,3975388.6,
1753460260199,16:17:40.199,ADA/USDT:USDT,0.7844,158.4,0.7846,854.0,0.7845,3975439.2,
1753460260308,16:17:40.308,ADA/USDT:USDT,0.7844,192.7,0.7845,805.7,0.7845,3975439.5,
1753460260413,16:17:40.413,ADA/USDT:USDT,0.7844,254.8,0.7845,739.9,0.7845,3975439.5,
1753460260614,16:17:40.614,ADA/USDT:USDT,0.7844,295.3,0.7845,572.1,0.7845,3975439.5,
1753460260823,16:17:40.823,ADA/USDT:USDT,0.7844,239.3,0.7845,611.8,0.7845,3975439.5,
1753460260976,16:17:40.976,ADA/USDT:USDT,0.7844,243.0,0.7845,611.8,0.7845,3975439.5,
1753460261080,16:17:41.080,ADA/USDT:USDT,0.7844,170.0,0.7845,613.2,0.7845,3975439.5,
1753460261187,16:17:41.187,ADA/USDT:USDT,0.7844,223.9,0.7845,679.3,0.7845,3975439.5,
1753460261288,16:17:41.288,ADA/USDT:USDT,0.7844,251.3,0.7845,575.9,0.7845,3975439.5,
1753460261406,16:17:41.406,ADA/USDT:USDT,0.7842,172.5,0.7844,910.0,0.7843,3975599.3,
1753460261509,16:17:41.509,ADA/USDT:USDT,0.7842,377.4,0.7843,464.1,0.7843,3975599.3,
1753460261623,16:17:41.623,ADA/USDT:USDT,0.7841,123.6,0.7843,594.7,0.7842,3975599.8,
1753460261738,16:17:41.738,ADA/USDT:USDT,0.7841,172.9,0.7842,794.6,0.7842,3975599.8,
1753460261859,16:17:41.859,ADA/USDT:USDT,0.7841,119.2,0.7842,646.1,0.7842,3975599.8,
1753460261961,16:17:41.961,ADA/USDT:USDT,0.784,177.0,0.7841,236.2,0.7841,3975600.0,
1753460262084,16:17:42.084,ADA/USDT:USDT,0.784,207.5,0.7841,519.6,0.7841,3975600.0,
1753460262200,16:17:42.200,ADA/USDT:USDT,0.784,233.3,0.7841,434.0,0.7841,3975600.0,
1753460262306,16:17:42.306,ADA/USDT:USDT,0.784,316.8,0.7841,112.0,0.7841,3975600.0,
1753460262413,16:17:42.413,ADA/USDT:USDT,0.7841,889.7,0.7843,425.0,0.7842,3975600.4,
1753460262522,16:17:42.522,ADA/USDT:USDT,0.7842,644.1,0.7843,225.4,0.7842,3975600.4,
1753460262624,16:17:42.624,ADA/USDT:USDT,0.7842,118.6,0.7843,218.3,0.7842,3975600.4,
1753460262726,16:17:42.726,ADA/USDT:USDT,0.7842,159.0,0.7843,217.5,0.7842,3975600.4,
1753460262828,16:17:42.828,ADA/USDT:USDT,0.7842,0.2,0.7843,338.5,0.7842,3975600.4,
1753460263076,16:17:43.076,ADA/USDT:USDT,0.7841,357.7,0.7842,20.0,0.7842,3975600.4,
1753460263179,16:17:43.179,ADA/USDT:USDT,0.7841,198.9,0.7842,343.3,0.7842,3975600.4,
1753460263306,16:17:43.306,ADA/USDT:USDT,0.7841,204.4,0.7842,221.7,0.7842,3975600.4,
1753460263406,16:17:43.406,ADA/USDT:USDT,0.7841,383.0,0.7842,111.9,0.7842,3975600.4,
1753460263623,16:17:43.623,ADA/USDT:USDT,0.7841,353.7,0.7842,45.8,0.7842,3975600.4,
1753460263752,16:17:43.752,ADA/USDT:USDT,0.7842,480.4,0.7843,200.9,0.7842,3975600.8,
