timestamp,time,symbol,bid,bidVolume,ask,askVolume,lastPrice,baseVolume,quoteVolume
1753460898655,16:28:18.655,ACH/USDT:USDT,0.021308,1220.0,0.021312,2910.0,0.021306,79472100.0,1725463.2937
1753460898755,16:28:18.755,ACH/USDT:USDT,0.021308,1220.0,0.021312,2910.0,0.021306,79472100.0,1725463.2937
1753460898855,16:28:18.855,ACH/USDT:USDT,0.021309,1220.0,0.021312,2910.0,0.021306,79472100.0,1725463.2937
1753460899055,16:28:19.055,ACH/USDT:USDT,0.021311,1250.0,0.021312,2910.0,0.021306,79472100.0,1725463.2937
1753460899455,16:28:19.455,ACH/USDT:USDT,0.021317,1550.0,0.021318,240.0,0.021312,79475010.0,1725525.3116
1753460899556,16:28:19.556,ACH/USDT:USDT,0.021317,1250.0,0.021318,240.0,0.021312,79475010.0,1725525.3116
1753460899656,16:28:19.656,ACH/USDT:USDT,0.021317,1250.0,0.021318,240.0,0.021312,79475010.0,1725525.3116
1753460901055,16:28:21.055,ACH/USDT:USDT,0.021308,760.0,0.021314,1260.0,0.021312,79475010.0,1725525.3116
1753460901155,16:28:21.155,ACH/USDT:USDT,0.021313,1560.0,0.021318,240.0,0.021314,79476270.0,1725552.1672
1753460901255,16:28:21.255,ACH/USDT:USDT,0.021315,1220.0,0.021318,240.0,0.021314,79476270.0,1725552.1672
1753460901755,16:28:21.755,ACH/USDT:USDT,0.021315,1220.0,0.021318,240.0,0.021314,79476270.0,1725552.1672
1753460901955,16:28:21.955,ACH/USDT:USDT,0.021315,1220.0,0.021317,1260.0,0.021314,79476270.0,1725552.1672
1753460902655,16:28:22.655,ACH/USDT:USDT,0.021307,340.0,0.021316,1260.0,0.021314,79476270.0,1725552.1672
1753460902755,16:28:22.755,ACH/USDT:USDT,0.021306,7040.0,0.021316,1260.0,0.021314,79476270.0,1725552.1672
1753460902855,16:28:22.855,ACH/USDT:USDT,0.021308,1560.0,0.021315,1260.0,0.021314,79476270.0,1725552.1672
1753460902955,16:28:22.955,ACH/USDT:USDT,0.021308,1220.0,0.021314,1260.0,0.021314,79476270.0,1725552.1672
1753460903255,16:28:23.255,ACH/USDT:USDT,0.021308,1220.0,0.021313,1260.0,0.021314,79476270.0,1725552.1672
1753460903455,16:28:23.455,ACH/USDT:USDT,0.02131,1500.0,0.021313,1260.0,0.021314,79476270.0,1725552.1672
1753460903555,16:28:23.555,ACH/USDT:USDT,0.02131,1500.0,0.021318,240.0,0.021313,79477530.0,1725579.0216
1753460903655,16:28:23.655,ACH/USDT:USDT,0.021311,1220.0,0.021318,240.0,0.021313,79477530.0,1725579.0216
1753460903955,16:28:23.955,ACH/USDT:USDT,0.021312,2750.0,0.021318,240.0,0.021313,79477530.0,1725579.0216
1753460904355,16:28:24.355,ACH/USDT:USDT,0.021313,1220.0,0.021318,240.0,0.021313,79477530.0,1725579.0216
1753460904555,16:28:24.555,ACH/USDT:USDT,0.021314,1250.0,0.021318,240.0,0.021313,79477530.0,1725579.0216
1753460904755,16:28:24.755,ACH/USDT:USDT,0.021314,1250.0,0.021318,240.0,0.021313,79477530.0,1725579.0216
1753460905055,16:28:25.055,ACH/USDT:USDT,0.021314,1250.0,0.021317,1260.0,0.021313,79477530.0,1725579.0216
1753460905155,16:28:25.155,ACH/USDT:USDT,0.021305,260.0,0.021315,1250.0,0.021313,79477530.0,1725579.0216
1753460905255,16:28:25.255,ACH/USDT:USDT,0.021309,1570.0,0.021318,590.0,0.021313,79477530.0,1725579.0216
