timestamp,time,symbol,bid1_price,bid1_volume,bid2_price,bid2_volume,ask1_price,ask1_volume,ask2_price,ask2_volume
1753503735504,04:22:15.504,ACH/USDT:USDT,0.02234,917.0,0.02233,2360.0,0.02235,147.0,0.02236,1727.0
1753503735704,04:22:15.704,ACH/USDT:USDT,0.02234,939.0,0.02233,2360.0,0.02235,147.0,0.02236,1727.0
1753503737004,04:22:17.004,ACH/USDT:USDT,0.02234,939.0,0.02233,2360.0,0.02235,147.0,0.02236,1727.0
1753503737304,04:22:17.304,ACH/USDT:USDT,0.02234,939.0,0.02233,2214.0,0.02235,147.0,0.02236,1727.0
1753503737504,04:22:17.504,ACH/USDT:USDT,0.02234,984.0,0.02233,2214.0,0.02235,147.0,0.02236,1727.0
1753503738004,04:22:18.004,ACH/USDT:USDT,0.02234,984.0,0.02233,2171.0,0.02235,147.0,0.02236,1727.0
1753503738504,04:22:18.504,ACH/USDT:USDT,0.02234,984.0,0.02233,2171.0,0.02235,147.0,0.02236,1727.0
1753503739204,04:22:19.204,ACH/USDT:USDT,0.02234,984.0,0.02233,2171.0,0.02235,147.0,0.02236,1727.0
1753503739604,04:22:19.604,ACH/USDT:USDT,0.02234,985.0,0.02233,2317.0,0.02235,147.0,0.02236,1727.0
1753503739704,04:22:19.704,ACH/USDT:USDT,0.02234,1030.0,0.02233,2317.0,0.02235,30.0,0.02236,1727.0
1753503740704,04:22:20.704,ACH/USDT:USDT,0.02234,1030.0,0.02233,2403.0,0.02235,33.0,0.02236,1464.0
1753503741204,04:22:21.204,ACH/USDT:USDT,0.02234,1030.0,0.02233,2446.0,0.02235,33.0,0.02236,1464.0
1753503741404,04:22:21.404,ACH/USDT:USDT,0.02234,1030.0,0.02233,2446.0,0.02235,33.0,0.02236,1726.0
1753503741704,04:22:21.704,ACH/USDT:USDT,0.02234,1031.0,0.02233,2577.0,0.02235,33.0,0.02236,1464.0
1753503743104,04:22:23.104,ACH/USDT:USDT,0.02234,1032.0,0.02233,2753.0,0.02235,3.0,0.02236,1464.0
1753503743304,04:22:23.304,ACH/USDT:USDT,0.02234,1032.0,0.02233,2753.0,0.02235,3.0,0.02236,1464.0
1753503743504,04:22:23.504,ACH/USDT:USDT,0.02234,1076.0,0.02233,2970.0,0.02235,3.0,0.02236,1464.0
1753503744104,04:22:24.104,ACH/USDT:USDT,0.02234,1120.0,0.02233,3013.0,0.02235,3.0,0.02236,1464.0
1753503744304,04:22:24.304,ACH/USDT:USDT,0.02234,1407.0,0.02233,2909.0,0.02235,3.0,0.02236,1464.0
1753503744404,04:22:24.404,ACH/USDT:USDT,0.02234,1407.0,0.02233,2909.0,0.02235,3.0,0.02236,1464.0
1753503744504,04:22:24.504,ACH/USDT:USDT,0.02234,1407.0,0.02233,2909.0,0.02235,3.0,0.02236,1464.0
1753503744704,04:22:24.704,ACH/USDT:USDT,0.02234,1429.0,0.02233,2780.0,0.02235,3.0,0.02236,1464.0
1753503745004,04:22:25.004,ACH/USDT:USDT,0.02234,1430.0,0.02233,2692.0,0.02235,3.0,0.02236,1464.0
1753503745804,04:22:25.804,ACH/USDT:USDT,0.02234,1430.0,0.02233,2502.0,0.02235,31.0,0.02236,1464.0
1753503746204,04:22:26.204,ACH/USDT:USDT,0.02234,1430.0,0.02233,2458.0,0.02235,31.0,0.02236,1464.0
1753503746404,04:22:26.404,ACH/USDT:USDT,0.02234,1430.0,0.02233,2377.0,0.02235,31.0,0.02236,1464.0
1753503746504,04:22:26.504,ACH/USDT:USDT,0.02234,1430.0,0.02233,2377.0,0.02235,31.0,0.02236,1726.0
1753503746904,04:22:26.904,ACH/USDT:USDT,0.02234,1391.0,0.02233,2245.0,0.02235,142.0,0.02236,1726.0
1753503747004,04:22:27.004,ACH/USDT:USDT,0.02234,1185.0,0.02233,2203.0,0.02235,481.0,0.02236,1594.0
1753503747204,04:22:27.204,ACH/USDT:USDT,0.02234,1213.0,0.02233,1884.0,0.02235,470.0,0.02236,1594.0
1753503747304,04:22:27.304,ACH/USDT:USDT,0.02234,1185.0,0.02233,1840.0,0.02235,470.0,0.02236,1594.0
1753503748004,04:22:28.004,ACH/USDT:USDT,0.02234,1197.0,0.02233,1797.0,0.02235,470.0,0.02236,1594.0
1753503748104,04:22:28.104,ACH/USDT:USDT,0.02234,1225.0,0.02233,1797.0,0.02235,470.0,0.02236,1594.0
1753503749304,04:22:29.304,ACH/USDT:USDT,0.02234,1225.0,0.02233,1753.0,0.02235,470.0,0.02236,1594.0
1753503750204,04:22:30.204,ACH/USDT:USDT,0.02234,910.0,0.02233,1997.0,0.02235,470.0,0.02236,1594.0
1753503750304,04:22:30.304,ACH/USDT:USDT,0.02234,899.0,0.02233,1954.0,0.02235,470.0,0.02236,1594.0
1753503750504,04:22:30.504,ACH/USDT:USDT,0.02234,910.0,0.02233,1954.0,0.02235,470.0,0.02236,1594.0
1753503751504,04:22:31.504,ACH/USDT:USDT,0.02234,910.0,0.02233,1954.0,0.02235,470.0,0.02236,1594.0
1753503751604,04:22:31.604,ACH/USDT:USDT,0.02234,910.0,0.02233,1954.0,0.02235,470.0,0.02236,1594.0
1753503752904,04:22:32.904,ACH/USDT:USDT,0.02234,910.0,0.02233,1954.0,0.02235,470.0,0.02236,1594.0
1753503753704,04:22:33.704,ACH/USDT:USDT,0.02234,648.0,0.02233,1911.0,0.02235,498.0,0.02236,1566.0
1753503753804,04:22:33.804,ACH/USDT:USDT,0.02234,648.0,0.02233,1911.0,0.02235,498.0,0.02236,1566.0
1753503754204,04:22:34.204,ACH/USDT:USDT,0.02234,648.0,0.02233,1911.0,0.02235,498.0,0.02236,1566.0
1753503754904,04:22:34.904,ACH/USDT:USDT,0.02234,637.0,0.02233,1911.0,0.02235,498.0,0.02236,1566.0
1753503755004,04:22:35.004,ACH/USDT:USDT,0.02234,637.0,0.02233,1867.0,0.02235,498.0,0.02236,1566.0
1753503755204,04:22:35.204,ACH/USDT:USDT,0.02234,637.0,0.02233,1779.0,0.02235,498.0,0.02236,1566.0
1753503756104,04:22:36.104,ACH/USDT:USDT,0.02234,637.0,0.02233,1779.0,0.02235,498.0,0.02236,1566.0
1753503757704,04:22:37.704,ACH/USDT:USDT,0.02234,637.0,0.02233,1779.0,0.02235,498.0,0.02236,1570.0
1753503758504,04:22:38.504,ACH/USDT:USDT,0.02234,841.0,0.02233,1779.0,0.02235,244.0,0.02236,1570.0
1753503758804,04:22:38.804,ACH/USDT:USDT,0.02234,852.0,0.02233,1779.0,0.02235,244.0,0.02236,1570.0
1753503759104,04:22:39.104,ACH/USDT:USDT,0.02234,648.0,0.02233,1779.0,0.02235,448.0,0.02236,1570.0
1753503762504,04:22:42.504,ACH/USDT:USDT,0.02234,637.0,0.02233,1823.0,0.02235,487.0,0.02236,1570.0
1753503763204,04:22:43.204,ACH/USDT:USDT,0.02234,637.0,0.02233,1779.0,0.02235,476.0,0.02236,1570.0
1753503763604,04:22:43.604,ACH/USDT:USDT,0.02234,637.0,0.02233,1779.0,0.02235,487.0,0.02236,1570.0
1753503764204,04:22:44.204,ACH/USDT:USDT,0.02234,195.0,0.02233,1558.0,0.02235,487.0,0.02236,1644.0
1753503764404,04:22:44.404,ACH/USDT:USDT,0.02234,195.0,0.02233,1701.0,0.02235,487.0,0.02236,1688.0
1753503764804,04:22:44.804,ACH/USDT:USDT,0.02234,195.0,0.02233,1701.0,0.02235,687.0,0.02236,1911.0
1753503765504,04:22:45.504,ACH/USDT:USDT,0.02234,50.0,0.02233,1047.0,0.02235,691.0,0.02236,2548.0
1753503765604,04:22:45.604,ACH/USDT:USDT,0.02234,50.0,0.02233,1047.0,0.02235,691.0,0.02236,2635.0
1753503765904,04:22:45.904,ACH/USDT:USDT,0.02234,50.0,0.02233,1047.0,0.02235,691.0,0.02236,2635.0
1753503766304,04:22:46.304,ACH/USDT:USDT,0.02234,50.0,0.02233,1047.0,0.02235,691.0,0.02236,3318.0
1753503766404,04:22:46.404,ACH/USDT:USDT,0.02234,50.0,0.02233,1047.0,0.02235,691.0,0.02236,3318.0
1753503766704,04:22:46.704,ACH/USDT:USDT,0.02234,50.0,0.02233,1047.0,0.02235,691.0,0.02236,3318.0
1753503766904,04:22:46.904,ACH/USDT:USDT,0.02234,50.0,0.02233,1047.0,0.02235,691.0,0.02236,3318.0
1753503767204,04:22:47.204,ACH/USDT:USDT,0.02234,50.0,0.02233,1047.0,0.02235,691.0,0.02236,3505.0
1753503767304,04:22:47.304,ACH/USDT:USDT,0.02234,50.0,0.02233,1047.0,0.02235,691.0,0.02236,3505.0
1753503767704,04:22:47.704,ACH/USDT:USDT,0.02234,50.0,0.02233,1047.0,0.02235,691.0,0.02236,3549.0
1753503768004,04:22:48.004,ACH/USDT:USDT,0.02234,50.0,0.02233,1047.0,0.02235,691.0,0.02236,3549.0
1753503768204,04:22:48.204,ACH/USDT:USDT,0.02234,50.0,0.02233,1047.0,0.02235,691.0,0.02236,3593.0
1753503768404,04:22:48.404,ACH/USDT:USDT,0.02234,50.0,0.02233,1047.0,0.02235,691.0,0.02236,3637.0
1753503768504,04:22:48.504,ACH/USDT:USDT,0.02234,50.0,0.02233,1047.0,0.02235,691.0,0.02236,3637.0
1753503768704,04:22:48.704,ACH/USDT:USDT,0.02234,50.0,0.02233,1047.0,0.02235,691.0,0.02236,3549.0
1753503769204,04:22:49.204,ACH/USDT:USDT,0.02234,50.0,0.02233,1047.0,0.02235,691.0,0.02236,3555.0
1753503769504,04:22:49.504,ACH/USDT:USDT,0.02234,50.0,0.02233,1047.0,0.02235,691.0,0.02236,3599.0
1753503769604,04:22:49.604,ACH/USDT:USDT,0.02234,50.0,0.02233,1047.0,0.02235,691.0,0.02236,3687.0
